ReferenceDate;SourceCurrencyCode;TargetCurrencyCode;ExchangeRate
2024-01-01;USD;EUR;0.92
2024-01-01;EUR;USD;1.087
2024-01-01;USD;GBP;0.79
2024-01-01;GBP;USD;1.266
2024-01-01;USD;JPY;145
2024-01-01;JPY;USD;0.0069
2024-01-01;USD;CAD;1.35
2024-01-01;CAD;USD;0.741
2024-01-01;USD;AUD;1.52
2024-01-01;AUD;USD;0.658
2024-01-01;USD;BRL;4.95
2024-01-01;BRL;USD;0.202
2024-01-01;USD;KRW;1330
2024-01-01;KRW;USD;0.00075
2024-01-01;USD;SGD;1.34
2024-01-01;SGD;USD;0.746

2024-06-01;USD;EUR;0.93
2024-06-01;EUR;USD;1.075
2024-06-01;USD;GBP;0.78
2024-06-01;GBP;USD;1.282
2024-06-01;USD;JPY;157
2024-06-01;JPY;USD;0.0064
2024-06-01;USD;CAD;1.37
2024-06-01;CAD;USD;0.730
2024-06-01;USD;AUD;1.50
2024-06-01;AUD;USD;0.667
2024-06-01;USD;BRL;5.10
2024-06-01;BRL;USD;0.196
2024-06-01;USD;KRW;1375
2024-06-01;KRW;USD;0.00073
2024-06-01;USD;SGD;1.36
2024-06-01;SGD;USD;0.735

2025-01-01;USD;EUR;0.91
2025-01-01;EUR;USD;1.099
2025-01-01;USD;GBP;0.80
2025-01-01;GBP;USD;1.250
2025-01-01;USD;JPY;150
2025-01-01;JPY;USD;0.0067
2025-01-01;USD;CAD;1.34
2025-01-01;CAD;USD;0.746
2025-01-01;USD;AUD;1.48
2025-01-01;AUD;USD;0.676
2025-01-01;USD;BRL;4.85
2025-01-01;BRL;USD;0.206
2025-01-01;USD;KRW;1320
2025-01-01;KRW;USD;0.00076
2025-01-01;USD;SGD;1.33
2025-01-01;SGD;USD;0.752
